ID,dd,mm,aaaa,FechaUTC,hh,mm,ss,HoraUTC,Latitud,Longitud,Profundidad,Magnitud
20070801060529,01,08,2007,2007/08/01,06,05,29,06:05:29,15.64,-96.54,016,4.10
20070802143702,02,08,2007,2007/08/02,14,37,02,14:37:02,16.09,-97.60,017,4.10
20070803023247,03,08,2007,2007/08/03,02,32,47,02:32:47,15.01,-94.86,017,4.40
20070804061118,04,08,2007,2007/08/04,06,11,18,06:11:18,15.21,-92.07,166,4.00
20070805081038,05,08,2007,2007/08/05,08,10,38,08:10:38,15.52,-93.46,015,4.20
20070806021811,06,08,2007,2007/08/06,02,18,11,02:18:11,16.13,-95.17,043,4.20
20070807042522,07,08,2007,2007/08/07,04,25,22,04:25:22,15.66,-94.89,075,4.10
20070808060918,08,08,2007,2007/08/08,06,09,18,06:09:18,14.04,-93.23,017,4.20
20070809195016,09,08,2007,2007/08/09,19,50,16,19:50:16,15.73,-94.39,016,4.00
20070810213309,10,08,2007,2007/08/10,21,33,09,21:33:09,15.47,-93.68,004,3.90
20070811112855,11,08,2007,2007/08/11,11,28,55,11:28:55,14.59,-94.48,015,4.50
20070812174006,12,08,2007,2007/08/12,17,40,06,17:40:06,15.02,-94.93,015,4.60
20070813182808,13,08,2007,2007/08/13,18,28,08,18:28:08,17.39,-95.98,108,4.30
20070814154730,14,08,2007,2007/08/14,15,47,30,15:47:30,16.99,-92.18,048,4.00
20070815034227,15,08,2007,2007/08/15,03,42,27,03:42:27,15.71,-97.04,011,3.60
20070816015657,16,08,2007,2007/08/16,01,56,57,01:56:57,16.98,-94.98,121,4.10
20070817170627,17,08,2007,2007/08/17,17,06,27,17:06:27,16.46,-95.94,081,4.10
20070818020607,18,08,2007,2007/08/18,02,06,07,02:06:07,15.53,-96.78,003,3.90
20070819033637,19,08,2007,2007/08/19,03,36,37,03:36:37,14.63,-93.90,020,4.30
20070820072229,20,08,2007,2007/08/20,07,22,29,07:22:29,14.85,-93.31,020,4.40
20070821120120,21,08,2007,2007/08/21,12,01,20,12:01:20,17.20,-94.96,128,3.90
20070822172356,22,08,2007,2007/08/22,17,23,56,17:23:56,17.18,-94.24,172,4.10
20070823185644,23,08,2007,2007/08/23,18,56,44,18:56:44,16.06,-97.17,010,3.80
20070824064805,24,08,2007,2007/08/24,06,48,05,06:48:05,16.18,-97.96,009,3.80
20070825135949,25,08,2007,2007/08/25,13,59,49,13:59:49,16.70,-94.98,021,4.20
20070826233003,26,08,2007,2007/08/26,23,30,03,23:30:03,16.02,-97.58,024,4.00
20070827010113,27,08,2007,2007/08/27,01,01,13,01:01:13,17.08,-94.47,132,4.00
20070828050130,28,08,2007,2007/08/28,05,01,30,05:01:30,17.32,-95.92,095,4.70
20070829102252,29,08,2007,2007/08/29,10,22,52,10:22:52,16.31,-94.52,080,4.30
20070830200245,30,08,2007,2007/08/30,20,02,45,20:02:45,15.87,-92.65,194,4.40
20070831145616,31,08,2007,2007/08/31,14,56,16,14:56:16,15.86,-92.89,160,3.90
20070901091331,01,09,2007,2007/09/01,09,13,31,09:13:31,16.08,-95.72,064,4.60
20070902165221,02,09,2007,2007/09/02,16,52,21,16:52:21,14.32,-93.30,016,4.40
20070903170120,03,09,2007,2007/09/03,17,01,20,17:01:20,14.33,-93.27,026,4.20
20070904212632,04,09,2007,2007/09/04,21,26,32,21:26:32,14.35,-93.28,024,4.40
20070905001243,05,09,2007,2007/09/05,00,12,43,00:12:43,14.41,-93.33,024,4.60
20070906005423,06,09,2007,2007/09/06,00,54,23,00:54:23,14.33,-93.48,023,4.50
20070907124538,07,09,2007,2007/09/07,12,45,38,12:45:38,14.67,-92.53,054,4.30
20070908033922,08,09,2007,2007/09/08,03,39,22,03:39:22,14.30,-93.49,016,4.00
20070909155713,09,09,2007,2007/09/09,15,57,13,15:57:13,15.73,-93.68,011,4.00
20070910182815,10,09,2007,2007/09/10,18,28,15,18:28:15,16.39,-97.97,007,3.90
20070911213902,11,09,2007,2007/09/11,21,39,02,21:39:02,16.64,-94.81,101,4.00
20070912224042,12,09,2007,2007/09/12,22,40,42,22:40:42,16.28,-93.51,149,4.10
20070913064742,13,09,2007,2007/09/13,06,47,42,06:47:42,17.32,-94.99,140,4.50
20070914190340,14,09,2007,2007/09/14,19,03,40,19:03:40,14.92,-94.30,015,4.00
20070915101642,15,09,2007,2007/09/15,10,16,42,10:16:42,17.30,-94.33,157,4.00
20070916125430,16,09,2007,2007/09/16,12,54,30,12:54:30,15.68,-93.91,062,5.00
20070917200318,17,09,2007,2007/09/17,20,03,18,20:03:18,15.08,-91.82,178,4.10
20070918231903,18,09,2007,2007/09/18,23,19,03,23:19:03,15.72,-95.32,035,3.90
20070919065150,19,09,2007,2007/09/19,06,51,50,06:51:50,17.31,-94.64,148,4.40
20070920021032,20,09,2007,2007/09/20,02,10,32,02:10:32,15.32,-92.18,173,4.20
20070921055012,21,09,2007,2007/09/21,05,50,12,05:50:12,15.32,-93.52,066,4.30
20070922021535,22,09,2007,2007/09/22,02,15,35,02:15:35,15.94,-96.90,014,3.80
20070923084839,23,09,2007,2007/09/23,08,48,39,08:48:39,15.46,-93.26,084,4.20
20070924113128,24,09,2007,2007/09/24,11,31,28,11:31:28,16.86,-95.28,101,4.00
20070925014219,25,09,2007,2007/09/25,01,42,19,01:42:19,15.56,-96.65,023,3.80
20070926064634,26,09,2007,2007/09/26,06,46,34,06:46:34,15.30,-92.94,100,4.30
20070927235702,27,09,2007,2007/09/27,23,57,02,23:57:02,16.02,-94.67,057,3.80
20070928011605,28,09,2007,2007/09/28,01,16,05,01:16:05,16.87,-94.10,150,3.90
20070929030023,29,09,2007,2007/09/29,03,00,23,03:00:23,16.60,-94.60,100,3.70
